town,lat,lon,pharmacies,parks,fetched_at,leisure_centres,gyms,community_centres,bus_stops,gp_surgeries,county,care_score,green_score,active_score,social_score,mobility_score,overall_score
Buxton,53.2583,-1.9111,3,5,2026-03-01 06:04:39,3,1,4,57,3,Derbyshire,17.6,6.2,8.2,17.4,11.0,12.1
Tenby,51.6728,-4.7011,2,15,2026-03-01 06:25:57,5,0,3,13,1,Pembrokeshire,11.8,21.9,10.9,13.0,2.0,11.9
Keswick,54.6014,-3.1328,2,6,2026-03-01 06:13:13,4,1,4,54,1,Cumbria,11.8,7.8,10.4,17.4,10.4,11.6
Hexham,54.9703,-2.1011,3,5,2026-03-01 06:12:56,8,2,1,30,2,Northumberland,17.6,6.2,20.8,4.3,5.5,10.9
Bideford,51.0167,-4.2083,4,13,2026-03-01 06:02:53,2,1,0,23,1,Devon,23.5,18.8,6.1,0.0,4.1,10.5
Bridgnorth,52.5361,-2.4194,2,5,2026-03-01 06:03:27,6,1,3,31,0,Shropshire,11.8,6.2,14.8,13.0,5.7,10.3
Ross-on-Wye,51.9139,-2.5831,3,8,2026-03-01 06:21:50,2,0,0,83,2,Herefordshire,17.6,10.9,4.3,0.0,16.3,9.8
Malmesbury,51.5839,-2.0981,1,7,2026-03-01 06:14:53,4,0,2,72,1,Wiltshire,5.9,9.4,8.7,8.7,14.0,9.3
Barnstaple,51.08,-4.058,2,10,2026-03-01 06:01:50,3,2,1,35,3,Devon,11.8,14.1,10.0,4.3,6.5,9.3
Fowey,50.3347,-4.6372,1,4,2026-03-01 06:09:59,2,0,3,90,2,Cornwall,5.9,4.7,4.3,13.0,17.7,9.1
Blandford Forum,50.8556,-2.1639,2,3,2026-03-01 06:03:03,1,0,4,57,2,Dorset,11.8,3.1,2.2,17.4,11.0,9.1
Haverfordwest,51.8014,-4.9683,2,5,2026-03-01 06:11:37,1,0,5,9,2,Pembrokeshire,11.8,6.2,2.2,21.7,1.2,8.6
Settle,54.0708,-2.2806,1,8,2026-03-01 06:22:46,1,0,4,31,1,North Yorkshire,5.9,10.9,2.2,17.4,5.7,8.4
Thirsk,54.2311,-1.3414,2,6,2026-03-01 06:26:57,2,2,3,7,2,North Yorkshire,11.8,7.8,7.8,13.0,0.8,8.2
Cromer,52.9308,1.3019,3,4,2026-03-01 06:07:10,2,0,1,43,1,Norfolk,17.6,4.7,4.3,4.3,8.1,7.8
Leominster,52.2258,-2.7383,1,9,2026-03-01 06:13:30,4,1,1,31,2,Herefordshire,5.9,12.5,10.4,4.3,5.7,7.8
Richmond,54.4028,-1.7344,2,8,2026-03-01 06:21:25,1,2,2,3,0,North Yorkshire,11.8,10.9,5.6,8.7,0.0,7.4
Sidmouth,50.6783,-3.2397,2,8,2026-03-01 06:24:19,1,1,1,21,1,Devon,11.8,10.9,3.9,4.3,3.7,6.9
Wells,51.2092,-2.6478,2,4,2026-03-01 06:28:10,1,0,1,54,1,Somerset,11.8,4.7,2.2,4.3,10.4,6.7
Dartmouth,50.3514,-3.5794,3,2,2026-03-01 06:07:25,1,1,1,30,0,Devon,17.6,1.6,3.9,4.3,5.5,6.6
Sherborne,50.9467,-2.5181,0,5,2026-03-01 06:23:01,3,0,4,7,2,Dorset,0.0,6.2,6.5,17.4,0.8,6.2
Ludlow,52.3675,-2.7144,2,8,2026-03-01 06:13:51,2,0,0,20,2,Shropshire,11.8,10.9,4.3,0.0,3.5,6.1
Helmsley,54.2497,-1.0625,1,3,2026-03-01 06:12:07,0,0,4,8,1,North Yorkshire,5.9,3.1,0.0,17.4,1.0,5.5
Holt,52.905,1.0889,2,3,2026-03-01 06:13:04,0,0,2,19,1,Norfolk,11.8,3.1,0.0,8.7,3.3,5.4
Hay-on-Wye,52.0747,-3.1283,1,2,2026-03-01 06:11:56,1,1,3,17,0,Powys,5.9,1.6,3.9,13.0,2.8,5.4
Tenterden,51.0667,0.6833,2,5,2026-03-01 06:26:17,1,0,0,33,0,Kent,11.8,6.2,2.2,0.0,6.1,5.3
Swanage,50.6083,-1.9586,2,3,2026-03-01 06:25:46,0,0,1,30,1,Dorset,11.8,3.1,0.0,4.3,5.5,4.9
Glastonbury,51.1483,-2.7144,1,4,2026-03-01 06:10:35,1,1,1,28,1,Somerset,5.9,4.7,3.9,4.3,5.1,4.8
Stow-on-the-Wold,51.9306,-1.7253,1,2,2026-03-01 06:25:25,0,0,2,41,0,Gloucestershire,5.9,1.6,0.0,8.7,7.7,4.8
Lyme Regis,50.725,-2.9333,1,5,2026-03-01 06:14:06,0,0,2,19,0,Dorset,5.9,6.2,0.0,8.7,3.3,4.8
Rye,50.95,0.7333,1,1,2026-03-01 06:22:07,2,1,2,15,0,East Sussex,5.9,0.0,6.1,8.7,2.4,4.6
